Atom1,Atom2,Atom3,x1,y1,z1,x2,y2,z2,x3,y3,z3,Energy
1,1,8,4.997732628814325,3.0151823345852193,4.681698699549146,3.9402265422356164,4.0552285671372506,0.006276264818228516,1.7221576755336965,2.0236017596921707,1.1317017558737081,10.905578167939264
1,1,8,3.1088920021071376,4.647413104471342,3.028193456130996,4.447510226861116,2.5950813425903396,3.679029970541934,0.627045383104618,4.894061081068789,1.9699722686299936,10.655825259890811
1,1,8,1.330482525872278,4.203710635287125,4.847254757054761,2.9239676148384586,1.1888244824415968,2.435375021650883,0.21121540042325804,0.9311402144675768,0.8615882347042825,10.888867134366961
1,1,8,0.24855923239429478,3.51855766128224,3.7616784393941445,4.775937256945838,0.36228948627670565,3.9609356127244255,1.5570072713509397,2.363900094363522,2.424235414325904,10.001599405370612
1,1,8,2.913558539837071,4.519628108326476,0.10256735585913501,1.7669156537585817,3.6949702406589062,4.862658279862171,3.389691697672327,3.1287621802382026,1.9322914340881674,10.211799270966779
1,1,8,4.102475962252065,1.1187612393436697,0.8213747525922171,0.4898389206760667,4.893634746956572,2.450287040481312,3.0174262754698127,1.1231028618687755,3.6846122926513942,10.859099474266639
1,1,8,1.5095153683911215,0.06747917928275726,4.413611600350023,0.8818418939112244,2.4160297325273348,3.4503328571438785,0.9292417435892647,1.4614845254578268,2.1210524233852657,7.865197994570934
1,1,8,1.7006685971890807,0.6542058100514986,4.287288827714624,2.5720629273461104,3.997176747192958,2.4129713162621274,3.1484219462570184,0.8678748740574965,2.43177554976499,10.194792644875232
1,1,8,1.0913711243780855,2.193452099653033,1.5941560272189852,3.329313559182978,4.875767601379006,0.2544623465648427,2.183304035516529,4.709897282381216,3.773440828435042,10.927962993203007
1,1,8,2.628379101707619,3.8133735828846893,2.527323569269761,2.125558210143152,2.0532666936827155,0.5323588072701368,2.019107124530276,3.080606826031566,2.654674557383148,4.918756052470119
1,1,8,2.6135195951577614,3.3307434340492996,2.2075430600308814,3.869502928252154,1.0714770813362429,3.5761910818818436,4.3964170397915785,4.492337575715772,4.104651931803161,10.712337460227179
1,1,8,2.959761273305607,4.186577251612035,2.6100495536346773,4.630981651995529,3.7102048792143263,4.4231978724981476,3.9931044838900354,2.024852503198039,4.742206930092166,8.8595964832878
1,1,8,4.545718981609278,4.102922208255583,1.4145632500862515,0.35253955585549557,2.253806710627208,4.134487762677216,1.877038434561578,2.68277376024678,4.960346197868405,8.795820485695948
1,1,8,1.6984247492038147,2.9587265938764746,1.6369294803355738,4.461544102754165,0.056851125246885625,4.1512650979892465,3.971387785536908,2.696814108465058,0.2917431367090717,10.629771155769415
1,1,8,3.259644812223101,1.6078200167155803,0.045315352191625524,2.268053330824757,3.7200472934721738,2.8899123985368687,1.6866091918651072,2.9821288342145804,1.6442072259002738,7.411094567549796
1,1,8,4.6046766026358625,3.1675083838197926,4.310695464046382,1.946230970093294,2.6299738082151825,3.401435408812987,1.647645535699211,1.1699158143934008,0.4954623911670031,10.913944665420235
1,1,8,1.2049430829144214,4.062194994677809,3.241538993226235,0.35080763685142236,4.029070325695327,2.2224531709227358,4.843884874631547,2.5525975286523943,3.4720083384351454,9.199125321728012
1,1,8,2.4899121640830972,3.219555171714192,2.2278619567948916,4.832249780137453,3.1325181416610133,2.245190156839384,3.748846724258753,2.352091927759219,3.3498196423153264,7.07129206915753
1,1,8,0.9983003771644161,3.3692248784030165,1.907797817905873,2.7118132141577664,2.93450202185175,1.7975838999914862,1.402314400174025,3.392836515030631,2.0513187580988763,29.005637374130146
1,1,8,3.839659200194769,3.552249845032463,2.095698157456789,4.0965238213216875,3.729035026706512,3.2297092796997307,1.981766932393691,3.0826757934725117,2.7169982641325747,7.261247237841983
1,1,8,4.250828519437925,3.1996152397241886,2.5220969528998056,4.39546160083361,1.210659479340162,3.017304080822796,2.952203791477001,2.245134875383567,1.183094041665536,9.321939616067144
1,1,8,3.724303444985339,2.9488134812586884,0.009995943245156846,4.4206544985509275,0.1718972868947699,0.5419423543860852,4.876317021755153,4.953603195906155,2.3039754233287124,10.912841949241045
1,1,8,3.0046616807958304,3.3639206959350143,2.465488799153671,1.4270889406713716,3.0338766217796183,1.1903714868994437,2.1263426349256793,1.359087832763628,4.494430581739798,10.68794142990924
1,1,8,4.004330937643756,0.764540154396206,1.204893588404858,3.9453332001364445,2.04535239651207,2.07758549949753,1.2887235211731929,1.729620756281296,3.938708141970454,10.044068191379342
1,1,8,2.0709588588535732,1.1885494462793977,4.056885722370152,1.7067521477001268,2.270703905389266,4.821326722389197,1.5729378482338112,0.9680362376927243,0.24576059570100894,9.414268228032352
1,1,8,3.5205067231908185,0.5471529557751265,1.8081030252457437,1.4295658983070654,3.0498407750010923,1.0850436175501583,2.7381118413765755,1.0026685086518698,2.4077132069883294,5.184381419658354
1,1,8,2.494063524653089,4.84093676013609,3.29993760237842,2.827589645123727,2.29141066775529,0.06142614100331456,1.2158939086021237,4.15807184717805,4.6479567375135895,9.469656276924708
1,1,8,3.861456912001019,2.409424072592457,2.407587921832761,4.099993355805927,2.31789357847411,3.2076337784756537,0.38890443250299944,2.473126896368198,4.781393856242318,5.809545030164964
1,1,8,2.6062476458475263,3.383205764091139,4.471890658995802,1.7489950348089567,3.8228199134638574,4.121984533595265,3.40254963849632,1.2881636727132446,4.024044922303618,6.802888949940067
1,1,8,1.33316253148458,3.2766840007308047,1.705496613818337,0.07584981841528449,0.7898135495642988,4.783706947946479,3.7730797934443725,4.309464063123711,4.166348867946683,10.974474049189748
1,1,8,4.187754051217395,3.5146866184468117,0.002471799543798947,0.46055859272842836,1.168773497793469,0.9901658792219753,1.8767051566559694,1.9226967002357647,4.78028572587138,11.006347384476584
1,1,8,3.4362096900994525,0.06671071561092534,4.290982729018416,3.288782361243481,2.3891320836283327,3.2552554027717706,3.281404960681842,0.31567873159865534,0.4143110825915569,10.925413937627411
1,1,8,1.044401811472433,1.2855341040494972,4.6826572046820845,4.660580249222446,0.37295157428059056,1.7508451917708197,1.7194017006436972,4.944735874039454,0.6883959546660839,11.019925193023404
1,1,8,4.064515702353858,2.8919681935708477,1.9206170067590622,2.1030801772437213,4.695747334188997,3.899733802087488,1.4166440285534727,2.108957915754698,3.060933134236765,10.569735388480604
1,1,8,2.850392878256034,1.7001798015233356,3.143535739885461,2.5562943930779953,1.0955982615862114,2.0329792453016715,1.321264494838198,4.332277863889674,0.394087602779421,9.025171657022742
1,1,8,1.2720563024431826,3.8299924485851755,3.635973175149042,3.6044923401622424,3.7058976155633365,1.012890644627562,0.5914817272218176,2.3652268466115602,0.33800038357804485,10.903937245880243
